Animal,,,,,Brain,,,,,,,,,,Music,,,,,,,,,Semantic,Social
G_dolphins,G_macaques,G_sheep,G_wetlands,G_zebras,G_FC_1,G_FC_2,G_FC_3,G_FC_4,G_FC_5,G_SC_1,G_SC_2,G_SC_3,G_SC_4,G_SC_5,G_Africa,G_Beethoven,G_Bohemian,G_Brahms,G_Chopin,G_Clavier,G_HardDays,G_Mozart,G_Thriller,G_glossary,G_karate
,2.5494,,1.127,,0.769,0.7908,0.8085,0.7668,0.8021,0.7776,0.7975,0.8826,0.8566,0.8876,,,,,,,,,,,
,2.5178,,1.0851,,0.7259,0.7385,0.7378,0.7142,0.7232,0.7402,0.7589,0.7997,0.79,0.8608,,,,,,,,,,,
,2.4852,,1.025,,0.6552,0.6673,0.6565,0.6546,0.6365,0.6652,0.7187,0.7639,0.7146,0.8006,,,,,,,,,,,
,2.4519,,0.9562,,0.5923,0.5867,0.593,0.5833,0.5736,0.6121,0.6625,0.7146,0.6681,0.7553,,,,,,,,,,,
,2.4189,,0.9126,,0.533,0.5324,0.5392,0.5444,0.5172,0.5539,0.6022,0.6362,0.6318,0.7022,,,,,,,,,,,
,2.3853,,0.8529,,0.4974,0.5049,0.5024,0.4963,0.4899,0.5035,0.5521,0.5766,0.6096,0.6582,,,,,,,,,,,
,2.3591,,0.813,,0.4217,0.4397,0.426,0.4122,0.4235,0.4648,0.508,0.5344,0.5676,0.6043,,,,,,,,,,,
,2.3325,,0.7643,,0.3752,0.3856,0.3819,0.3743,0.3933,0.4316,0.4468,0.4859,0.5276,0.5483,,,,,,,,,,,
,2.3054,,0.7268,,0.3313,0.3669,0.3509,0.3283,0.3666,0.3704,0.3933,0.4248,0.4609,0.4913,,,,,,,,,,,
,2.2779,,0.6594,,0.2831,0.3129,0.2815,0.2738,0.325,0.3155,0.3139,0.372,0.3883,0.3998,,,,,,,,,,,
,2.2512,,0.6018,,0.2369,0.2606,0.2374,0.2347,0.2949,0.2853,0.2807,0.3027,0.3555,0.3382,,,,,,,,,,,
,2.2241,,0.5506,,0.2062,0.2297,0.2078,0.1953,0.2481,0.224,0.2231,0.2637,0.3006,0.2935,,,,,,,,,,,
,2.1967,,0.5037,,0.1748,0.2044,0.1819,0.1678,0.2176,0.1952,0.1858,0.2055,0.2423,0.2444,,,,,,,,,,,
,2.169,,0.4361,,0.1401,0.1681,0.1541,0.1334,0.1741,0.1678,0.1618,0.1694,0.2037,0.212,,,,,,,,,,,
,2.1285,,0.3973,,0.0969,0.1045,0.1048,0.0866,0.1112,0.1085,0.1134,0.1415,0.1351,0.154,,,,,,,,,,,
